,Artist,Title,Mood
0,Usher,There Goes My Baby,relaxed
1,Da'Ville,On My Mind,relaxed
2,Rihanna,Rockstar 101 ,relaxed
3,J. Holiday,Bed,relaxed
4,Morgan Heritage,Don't Haffi Dread,angry
5,Whitney Houston,My Love Is Your Love,happy
6,Serani,Study People,angry
7,Austra,Spellwork,angry
8,Coro,Can't Let You Go,happy
9,Beenie Man,Slam,relaxed
10,Deitrick Haddon,Love Him Like I Do ,happy
11,The Jackson 5,ABC,relaxed
12,Maysa,The Lady In My Life,happy
13,Ryan Shaw,We Got Love,happy
14,The Paris Sisters,I Love How You Love Me,happy
15,New Direction,I Came To Jesus,sad
16,Kurt Carr & The Kurt Carr Singers,God Great God,happy
17,Kenny Lattimore,And I Love Her,happy
18,Jordin Sparks,Battlefield,angry
19,Spoon,You Got Yr. Cherry Bomb,angry
20,Tarralyn Ramsey,Peace Of God,relaxed
21,Tyrese,One,relaxed
22,Dr. Dog,Where'd All The Time Go?,sad
23,Tarralyn Ramsey,Unconditional Love,happy
24,Kool & The Gang,Steppin' Into Love,happy
25,Anders Osborne,Darkness At The Bottom,sad
26,The Rolling Stones,Gimme Shelter,angry
27,The Rolling Stones,Happy,happy
28,Bobby Bare,Detroit City,relaxed
29,Gene Watson,Got No Reason Now For Goin' Home,relaxed
30,George Strait,El Rey,sad
31,Playing For Change,Don't Worry,relaxed
32,The Rolling Stones,Melody,relaxed
33,Stars,Fixed,sad
34,Glasser,Home,relaxed
35,Betty Wright,Where Is The Love,happy
36,Mavis Staples,You Are Not Alone,angry
37,The Rolling Stones,Not Fade Away,happy
38,The Beach Boys,God Only Knows,happy
39,Korn,Blind,sad
40,Megadeth,Angry Again,angry
41,Ra,Do You Call My Name,angry
42,Avenged Sevenfold,Nightmare,angry
43,Mudvayne,Scream With Me,angry
44,Static-X,Dirthouse,sad
45,Metallica,Cyanide,sad
46,Green Day,Longview,sad
47,Nirvana,Rape Me,angry
48,Marilyn Manson,Sweet Dreams ,angry
49,Staind,Mudshovel,angry
50,Pantera,This Love,happy
51,Chevelle,Send The Pain Below,angry
52,The Red Hot Chili Peppers,Scar Tissue,sad
53,Metallica,Harvester Of Sorrow,angry
54,Guns N' Roses,Civil War,angry
55,Shadows Fall,King Of Nothing,angry
56,Comeback Kid,Do Yourself A Favor,sad
57,Rob Zombie,Superbeast,sad
58,Pearl Jam,Why Go,relaxed
59,Scorpions,Rock You Like A Hurricane,angry
60,Nine Inch Nails,Terrible Lie,angry
61,Stone Temple Pilots,Wicked Garden,angry
62,Smashing Pumpkins,Bullet With Butterfly Wings,angry
63,Nirvana,Come As You Are,angry
64,Black Sabbath,War Pigs,angry
65,Korn,Everything I've Known,angry
66,Disturbed,Indestructible,angry
67,Three Days Grace,Riot,angry
68,Dierks Bentley,Free And Easy ,relaxed
69,Kenny Chesney,When The Sun Goes Down ,relaxed
70,Zac Brown Band,Free,relaxed
71,Frankie Ballard,Tell Me You Get Lonely,sad
72,Faith Hill,The Way You Love Me,happy
73,Blake Shelton,Home,relaxed
74,Josh Turner,Your Man,relaxed
75,Alice Cooper,Welcome To My Nightmare,angry
76,Led Zeppelin,Rock And Roll,sad
77,Joan Jett & The Blackhearts,I Hate Myself For Loving You,angry
78,Jonny Lang,Lie To Me,angry
79,The Doors,Love Her Madly,happy
80,Eric Clapton,Cocaine,angry
81,Robert Cray,Smoking Gun,angry
82,Jefferson Airplane,Somebody To Love,happy
83,Supertramp,Bloody Well Right,angry
84,Ted Nugent,Cat Scratch Fever,sad
85,Alice Cooper,No More Mr. Nice Guy,sad
86,Neil Young,Heart Of Gold,happy
87,Boston,Let Me Take You Home Tonight,relaxed
88,Scorpions,Still Loving You,happy
89,The Doors,Light My Fire,angry
90,Night Ranger,Don't Tell Me You Love Me,happy
91,Lynyrd Skynyrd,That Smell,sad
92,Pat Benatar,Hit Me With Your Best Shot,angry
93,Guns N' Roses,Paradise City,relaxed
94,Yes,I've Seen All Good People,relaxed
95,Motley Crue,Home Sweet Home,relaxed
96,Lynyrd Skynyrd,You Got That Right,angry
97,Bad Company,Feel Like Makin' Love,happy
98,Jethro Tull,Locomotive Breath,sad
99,Bad Company,Can't Get Enough,happy
100,The Who,Love Reign O'er Me,relaxed
101,Billy Squier,In The Dark,sad
102,Pink Floyd,One Of These Days,sad
103,Van Halen,Runnin' With The Devil,angry
104,David Bowie,Fame,happy
105,Three Plus,Undercover Lover,relaxed
106,Three Plus,Honey Baby,relaxed
107,Three Plus,Two Person Party,relaxed
108,Bob Marley & The Wailers,Easy Skanking,relaxed
109,Gregory Isaacs,Private Beach Party,happy
110,Fiji,Anything You Want,relaxed
111,Ooklah The Moc,Hell Fire,angry
112,Shaggy,Angel ,relaxed
113,Sean Paul,I'm Still In Love With You ,happy
114,The Beach Boys,Good Vibrations,relaxed
115,Orleans,Still The One,happy
116,The Babys,Every Time I Think Of You,happy
117,R.E.M.,The One I Love,angry
118,The Cure,Lovesong,happy
119,Annie Lennox,Walking On Broken Glass,sad
120,Soft Cell,Tainted Love,happy
121,Lenny Kravitz,Again,happy
122,Cyndi Lauper,Time After Time,sad
123,Falco,Rock Me Amadeus,angry
124,The Fixx,Saved By Zero,happy
125,Gino Vannelli,Living Inside Myself,angry
126,Aretha Franklin,Respect,relaxed
127,Melissa Etheridge,I'm The Only One,angry
128,Fleetwood Mac,Go Your Own Way,sad
129,Andy Kim,Rock Me Gently,relaxed
130,The Bee Gees,Lonely Days,sad
131,Rod Stewart,Passion,happy
132,U2,Pride ,happy
133,Janet Jackson,Nasty,sad
134,Howard Jones,What Is Love?,happy
135,Sheryl Crow,A Change Would Do You Good,relaxed
136,The Thompson Twins,King For A Day,happy
137,.38 Special,Second Chance,happy
138,Depeche Mode,Strangelove,angry
139,Kajagoogoo,Too Shy,sad
140,The Flying Lizards,Money ,happy
141,Kenny Loggins,Danger Zone,angry
142,Eddie Money,Think I'm In Love,happy
143,Donna Summer,Bad Girls,sad
144,John Cougar Mellencamp,Authority Song,angry
145,Aerosmith,Janie's Got A Gun,angry
146,The Motels,Only The Lonely,sad
147,Edwin Starr,War,angry
148,Tesla,Love Song,happy
149,Andrew Gold,Lonely Boy,sad
150,Madonna,Angel,relaxed
151,Duran Duran,I Don't Want Your Love,happy
152,Alias,More Than Words Can Say,relaxed
153,Mr. Mister,Is It Love,happy
154,Right Said Fred,I'm Too Sexy,happy
155,John Mellencamp,Lonely Ol' Night,sad
156,Kenny Loggins,Whenever I Call You Friend ,happy
157,The Pointer Sisters,Fire,angry
158,Duran Duran,A View To A Kill,angry
159,Seals & Crofts,Diamond Girl,relaxed
160,April Wine,Just Between You And Me,happy
161,Paul McCartney & Wings,My Love,happy
162,Nelly Furtado,I'm Like A Bird,relaxed
163,The Beatles,Can't Buy Me Love,happy
164,Lita Ford,Kiss Me Deadly,happy
165,The Trammps,Disco Inferno,angry
166,Killswitch Engage,This Fire Burns,angry
